Asset ID,Total Quantity Reserved
710,0.0000000
721,0.0000000
722,0.0000000
893,0.0000000
895,0.0000000
896,0.0000000
897,0.0000000
898,0.0000000
899,0.0000000
900,0.0000000
903,0.0000000
904,0.0000000
905,0.0000000
906,0.0000000
907,0.0000000
908,0.0000000
909,0.0000000
910,0.0000000
911,0.0000000
912,0.0000000
913,0.0000000
914,0.0000000
915,0.0000000
916,0.0000000
917,0.0000000
918,0.0000000
919,0.0000000
920,0.0000000
921,0.0000000
922,0.0000000
923,0.0000000
924,0.0000000
941,0.0000000
946,0.0000000
947,0.0000000
948,0.0000000
958,0.0000000
959,0.0000000
960,0.0000000
961,0.0000000
962,0.0000000
963,0.0000000
964,0.0000000
965,0.0000000
966,0.0000000
967,0.0000000
972,0.0000000
1013,0.0000000
1014,0.0000000
1022,0.0000000
1023,0.0000000
1024,0.0000000
1036,0.0000000
1037,0.0000000
1038,0.0000000
1039,0.0000000
1041,0.0000000
1042,0.0000000
1043,0.0000000
1044,0.0000000
1045,0.0000000
1046,0.0000000
1047,0.0000000
1048,0.0000000
1049,0.0000000
1050,0.0000000
1051,0.0000000
1065,0.0000000
1066,0.0000000
1067,0.0000000
1068,0.0000000
1069,0.0000000
1071,0.0000000
1072,0.0000000
1073,0.0000000
1074,0.0000000
1075,0.0000000
1076,0.0000000
1077,0.0000000
1078,0.0000000
1079,0.0000000
1080,0.0000000
1083,0.0000000
1084,0.0000000
1085,0.0000000
1086,0.0000000
1087,0.0000000
1088,0.0000000
1089,0.0000000
1090,0.0000000
1091,0.0000000
1092,0.0000000
1093,0.0000000
1094,0.0000000
1095,0.0000000
1096,0.0000000
1097,0.0000000
1099,0.0000000
1102,0.0000000
1103,0.0000000
1104,0.0000000
1105,0.0000000
1108,0.0000000
1109,0.0000000
1171,0.0000000
1172,0.0000000
1173,0.0000000
1174,0.0000000
1175,0.0000000
1176,0.0000000
1177,0.0000000
1178,0.0000000
1179,0.0000000
1180,0.0000000
1181,0.0000000
1182,0.0000000
1183,0.0000000
1186,0.0000000
1189,0.0000000
1190,0.0000000
1191,0.0000000
1192,0.0000000
1193,0.0000000
1194,0.0000000
1195,0.0000000
1196,0.0000000
1197,0.0000000
1198,0.0000000
1199,0.0000000
1200,0.0000000
1201,0.0000000
1202,0.0000000
1209,0.0000000
1210,0.0000000
1211,0.0000000
1212,0.0000000
1218,0.0000000
1219,0.0000000
1220,0.0000000
1221,0.0000000
1224,0.0000000
1225,0.0000000
1227,0.0000000
1228,0.0000000
1229,0.0000000
1230,0.0000000
1231,0.0000000
1232,0.0000000
1233,0.0000000
1234,0.0000000
1235,0.0000000
1236,0.0000000
1237,0.0000000
1238,0.0000000
1239,0.0000000
1240,0.0000000
1242,0.0000000
1243,0.0000000
1325,0.0000000
1330,0.0000000
1331,0.0000000
1399,0.0000000
1400,0.0000000
1406,0.0000000
1407,0.0000000
1408,0.0000000
1409,0.0000000
1410,0.0000000
1411,0.0000000
1414,0.0000000
